"ID"	"PCA p-val"	"PCA q-val"
"1"	20	1.72714144373581e-06	3.80254506683599e-05
"2"	21	3.0236449539326e-06	6.37972380059038e-05
"3"	23	1.72714144373581e-06	3.80254506683599e-05
"4"	25	1.03985109072609e-06	2.44323176059055e-05
"5"	26	1.03985109072609e-06	2.44323176059055e-05
"6"	28	3.55893014727827e-20	7.71572947693993e-18
"7"	72	0.00390291463871994	0.0367198307461887
"8"	92	3.88382249363175e-06	8.02080429872444e-05
"9"	122	1.02722607132444e-08	3.87822758654331e-07
"10"	123	1.02722607132444e-08	3.87822758654331e-07
"11"	124	1.02722607132444e-08	3.87822758654331e-07
"12"	125	1.02722607132444e-08	3.87822758654331e-07
"13"	141	1.55689544988593e-06	3.4475998394508e-05
"14"	160	0.00176020892167844	0.019034870907116
"15"	161	2.69279349414944e-12	1.69441214960757e-10
"16"	162	0.00176020892167844	0.019034870907116
"17"	199	0.00350867261324696	0.0336869211428876
"18"	209	0.00429936427125524	0.0397330187405388
"19"	261	0.00185173665725968	0.019868850188669
"20"	263	0.00203801347459124	0.0215233471544419
"21"	299	0.000289491564929135	0.00398347775056451
"22"	300	0.000289491564929135	0.00398347775056451
"23"	330	0.000307333760355569	0.00419757887217962
"24"	331	0.000307333760355569	0.00419757887217962
"25"	363	4.21639870886264e-08	1.40679802889048e-06
"26"	368	5.5156906216741e-06	0.000110865381495649
"27"	372	0.00142690791521535	0.0159302220073525
"28"	373	4.948616140928e-08	1.62167620824193e-06
"29"	413	8.13056955851481e-05	0.00126737327118237
"30"	423	0.00354877070981544	0.0339471713738357
"31"	424	0.00354877070981544	0.0339471713738357
"32"	448	0.000827392153042812	0.00998239081946938
"33"	450	5.24434564684747e-05	0.00085198307699292
"34"	451	1.96733601467046e-05	0.000348456407849961
"35"	469	4.22857981385109e-09	1.70362500137623e-07
"36"	470	4.22857981385109e-09	1.70362500137623e-07
"37"	486	3.32948554803762e-05	0.000559009026051484
"38"	488	9.82485352605222e-10	4.37465921980193e-08
"39"	491	1.81021316587651e-05	0.000322351696722636
"40"	508	0.000615980819732049	0.00770466182206618
"41"	511	0.000615980819732049	0.00770466182206618
"42"	512	0.000615980819732049	0.00770466182206618
"43"	520	2.26306245579971e-08	8.04850028701331e-07
"44"	522	6.42444527667304e-08	2.03674607056824e-06
"45"	523	6.42444527667304e-08	2.03674607056824e-06
"46"	524	6.42444527667304e-08	2.03674607056824e-06
"47"	530	2.4548387042165e-06	5.24420727832344e-05
"48"	532	2.4548387042165e-06	5.24420727832344e-05
